"word","count","topic","color"
"logical choice",45,"Perception and Personal Judgment","#33A02C"
"cost effective",40,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",26,"Protection and Preparedness","#FB9A99"
"increase in rainfall",22,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",19,"No Reason","#E31A1C"
"saves money",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",17,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",14,"Protection and Preparedness","#FB9A99"
"amount of rain",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",11,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",9,"No Reason","#E31A1C"
"based on 2 events",8,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",8,"No Reason","#E31A1C"
"protection of home and family",8,"Protection and Preparedness","#FB9A99"
"safe than sorry",8,"Protection and Preparedness","#FB9A99"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",7,"Protection and Preparedness","#FB9A99"
"I don't understand",7,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"freeboard added",6,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",5,"Perception and Personal Judgment","#33A02C"
"based on emissions scenario(s)/ projections",5,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",5,"Protection and Preparedness","#FB9A99"
"based on prior experience",4,"Perception and Personal Judgment","#33A02C"
"not needed",4,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",2,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
