"county","FIPS","year","winter","spring","summer","fall"
"Accomack_Virginia_51001","51001",1979,NA,367.420731870503,337.158536731833,385.897560724398
"Accomack_Virginia_51001","51001",1980,180.825609799202,274.039024310141,168.696341601814,257.118292944097
"Accomack_Virginia_51001","51001",1981,138.053658628246,221.545121980876,278.593902435608,191.865854092487
"Accomack_Virginia_51001","51001",1982,323.903658447833,221.130487757485,332.131707480768,218.990243697675
"Accomack_Virginia_51001","51001",1983,258.167073255632,415.571951116004,156.037804963385,299.332926862124
"Accomack_Virginia_51001","51001",1984,334.268292664755,432.263414390203,203.858536462958,139.075610022356
"Accomack_Virginia_51001","51001",1985,218.648780246697,179.90121968454,312.960975525583,374.991463750237
"Accomack_Virginia_51001","51001",1986,185.371951023616,79.957317071717,310.004877791172,136.634146442864
"Accomack_Virginia_51001","51001",1987,393.396340971676,221.119512524183,205.174389950022,209.724390045535
"Accomack_Virginia_51001","51001",1988,251.371951356894,240.98048798958,234.20243906684,221.709755992381
"Accomack_Virginia_51001","51001",1989,172.146341578626,356.618292213213,489.962194798923,310.180487950037
"Accomack_Virginia_51001","51001",1990,219.937804939543,343.751219583357,285.467073220669,160.915853656647
"Accomack_Virginia_51001","51001",1991,234.858537006305,228.082926848676,287.834146869619,198.082926739643
"Accomack_Virginia_51001","51001",1992,214.089024510689,242.600000342945,400.59146336775,293.115853391406
"Accomack_Virginia_51001","51001",1993,259.590243541249,367.406097090462,146.415853586139,231.415853726064
"Accomack_Virginia_51001","51001",1994,319.342682890776,336.697561124476,235.021951329417,223.135366100364
"Accomack_Virginia_51001","51001",1995,164.450000223954,237.074390249645,154.80487849945,316.402438684571
"Accomack_Virginia_51001","51001",1996,265.553658498133,280.576829265167,429.287804855079,374.529268355631
"Accomack_Virginia_51001","51001",1997,292.029268300024,237.832926911552,233.2304872845,306.767073451382
"Accomack_Virginia_51001","51001",1998,434.548780690606,335.892682613396,196.342683132102,134.797561037468
"Accomack_Virginia_51001","51001",1999,288.752438850519,267.021951811706,234.904877971949,432.997560927417
"Accomack_Virginia_51001","51001",2000,204.657317225526,309.18902434445,440.000000459028,155.065853758556
"Accomack_Virginia_51001","51001",2001,174.319512266575,262.631707086069,372.020731220158,72.1829267558528
"Accomack_Virginia_51001","51001",2002,160.323170599778,290.075609533525,232.351219293911,341.295122019401
"Accomack_Virginia_51001","51001",2003,276.269511861409,359.860976025462,375.80853652627,311.610975583516
"Accomack_Virginia_51001","51001",2004,285.934146392273,243.135365795072,579.885366536495,238.193902679696
"Accomack_Virginia_51001","51001",2005,239.451219547449,264.260975620005,347.996341358598,246.840244166008
"Accomack_Virginia_51001","51001",2006,209.886585588862,139.342682936933,396.948781020758,555.748780815703
"Accomack_Virginia_51001","51001",2007,192.752439035512,187.7024390752,220.480487692283,155.518292896268
"Accomack_Virginia_51001","51001",2008,238.62439021032,302.549999889804,268.441463708151,291.282926905809
"Accomack_Virginia_51001","51001",2009,194.543902413511,296.210975644429,431.826829247722,492.678048590698
"Accomack_Virginia_51001","51001",2010,386.568292713383,276.71951204502,256.458536721221,233.826829249176
"Accomack_Virginia_51001","51001",2011,196.886585529621,165.060975960842,404.089024484158,235.137805183123
"Accomack_Virginia_51001","51001",2012,192.076829206289,233.597561313248,414.269512427289,372.607316607019
"Accomack_Virginia_51001","51001",2013,316.052439398518,259.571951107644,326.874390048588,233.40487857163
"Accomack_Virginia_51001","51001",2014,308.374390475634,330.943903004614,243.59390254137,289.674390482103
"Accomack_Virginia_51001","51001",2015,275.445121913058,256.790244156268,312.995122140137,298.124390348792
"Accomack_Virginia_51001","51001",2016,317.470731480093,298.282927044281,338.75365812386,480.426827433269
"Accomack_Virginia_51001","51001",2017,256.237804655258,322.704878156142,447.943901716936,251.219511891284
"Accomack_Virginia_51001","51001",2018,203.359756084114,293.448780414898,387.592682966372,354.780488041116
"Accomack_Virginia_51001","51001",2019,333.020731749331,298.970732067053,308.612195170507,282.951219337742
