"county","FIPS","centralDecade","aveWetDays","fiveYrAveTotWetDaysCentYr_-10","fiveYrAveTotWetDaysCentYr_-9","fiveYrAveTotWetDaysCentYr_-8","fiveYrAveTotWetDaysCentYr_-7","fiveYrAveTotWetDaysCentYr_-6","fiveYrAveTotWetDaysCentYr_-5","fiveYrAveTotWetDaysCentYr_-4","fiveYrAveTotWetDaysCentYr_-3","fiveYrAveTotWetDaysCentYr_-2","fiveYrAveTotWetDaysCentYr_-1","fiveYrAveTotWetDaysCentYr_0","fiveYrAveTotWetDaysCentYr_1","fiveYrAveTotWetDaysCentYr_2","fiveYrAveTotWetDaysCentYr_3","fiveYrAveTotWetDaysCentYr_4","fiveYrAveTotWetDaysCentYr_5","fiveYrAveTotWetDaysCentYr_6","fiveYrAveTotWetDaysCentYr_7","fiveYrAveTotWetDaysCentYr_8","fiveYrAveTotWetDaysCentYr_9","fiveYrAveTotWetDaysCentYr_10","fiveYrAveTotWetDaysCentYr_11","fiveYrAveTotWetDaysCentYr_12","fiveYrAveTotWetDaysCentYr_13","fiveYrAveTotWetDaysCentYr_14","fiveYrAveTotWetDaysCentYr_15","fiveYrAveTotWetDaysCentYr_16","fiveYrAveTotWetDaysCentYr_17","fiveYrAveTotWetDaysCentYr_18","fiveYrAveTotWetDaysCentYr_19"
"Accomack_Virginia_51001","51001",1970,1025.439357017,1093.8597562763,1011.34390257822,1048.49902449745,1026.51195118071,1012.73756081942,953.034877913173,1022.02487781041,1016.1521949353,1045.31658539736,1061.22713434533,1120.72926849575,996.345122551046,956.576830023309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accomack_Virginia_51001","51001",2000,1140.50593507994,1082.56634162933,1103.55292677683,1042.98414654259,1014.45682943601,1109.17829269432,1077.04024387802,1106.99365873635,1126.25560987272,1169.38829287211,1057.95512199365,1070.85463406073,1123.5456096836,1143.00951222545,1143.47804877867,1222.81341502848,1168.54682980325,1114.6180492955,1159.95292717538,1138.48756122466,1080.24195138405,1177.18902465083,1186.2380490974,1109.71097609495,1140.71902499155,1228.90390246169,1220.8580485003,1243.79999966062,1261.12243856853,1303.48951168642,1274.51402427819
"Accomack_Virginia_51001","51001",2030,1371.03170762774,1284.38414656425,1280.98292707979,1371.03170762774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albemarle_Virginia_51003","51003",1970,1153.58165592538,1174.80999997232,1124.53964285893,1188.3175000377,1167.40303574423,1191.88517851377,1113.3467858132,1136.94732145332,1136.87357147549,1173.699107285,1143.9136162667,1230.53333347575,1142.64642883917,1063.44285761325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albemarle_Virginia_51003","51003",2000,1197.92422629189,1155.83071450378,1232.93035732917,1196.55517893567,1208.6894646114,1295.10000029206,1268.3380360002,1254.55071455884,1229.73107165971,1167.0735716269,1043.41017865565,1037.32964294132,1150.75857149267,1176.34928554179,1203.53178556003,1264.46982146895,1236.04982143374,1086.33571435437,1089.99625015323,1083.78035724477,1117.10196440651,1128.38946445457,1189.35660715433,1165.2280358182,1204.48142869403,1167.52374998565,1181.25499991125,1307.17625014298,1329.68553564272,1392.90428572765,1450.20825891662
"Albemarle_Virginia_51003","51003",2030,1586.42767863242,1592.85089285104,1412.46026748805,1586.42767863242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria_Virginia_51510","51510",1970,980.896969719367,1036.39999870062,968.639999355872,991.833331785599,1004.85333158573,1005.75333189567,922.326666557789,964.613333555063,1007.01333462795,994.293335251013,1005.56666885316,1049.62222487397,959.950002297759,795.633334845304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria_Virginia_51510","51510",2000,1090.38999966946,1007.92000170946,1055.14000153343,1024.54666775664,994.780000378688,1109.72666655779,1086.03333268364,1060.18000005285,1055.17999964754,1064.32000018358,964.566666809718,972.680001085997,1091.10666657488,1102.88000014424,1118.50666542252,1170.52666553458,1134.07333198786,1054.65999925733,1072.82666525245,1046.25333292484,1077.93333365719,1102.87333375216,1086.18666682243,1083.98000011245,1125.37999953628,1045.43333280087,1066.38666607141,1212.73333176772,1202.92666510344,1269.95999998053,1364.85833262155
"Alexandria_Virginia_51510","51510",2030,1508.56667179863,1490.9333320823,1324.60000093281,1508.56667179863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alleghany_Virginia_51005","51005",1970,1032.94129921422,1060.96628610228,1028.4885717776,1053.91914329486,1056.40142896371,1051.73771468256,1000.44257182079,1023.52942912545,1026.93800057326,1042.68542920998,1032.36178631389,1106.24952451828,1022.43714355315,958.068572015848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
