"county","FIPS","centralDecade","aveWetDays","fiveYrAveWetDaysCentYr_-10","fiveYrAveWetDaysCentYr_-9","fiveYrAveWetDaysCentYr_-8","fiveYrAveWetDaysCentYr_-7","fiveYrAveWetDaysCentYr_-6","fiveYrAveWetDaysCentYr_-5","fiveYrAveWetDaysCentYr_-4","fiveYrAveWetDaysCentYr_-3","fiveYrAveWetDaysCentYr_-2","fiveYrAveWetDaysCentYr_-1","fiveYrAveWetDaysCentYr_0","fiveYrAveWetDaysCentYr_1","fiveYrAveWetDaysCentYr_2","fiveYrAveWetDaysCentYr_3","fiveYrAveWetDaysCentYr_4","fiveYrAveWetDaysCentYr_5","fiveYrAveWetDaysCentYr_6","fiveYrAveWetDaysCentYr_7","fiveYrAveWetDaysCentYr_8","fiveYrAveWetDaysCentYr_9","fiveYrAveWetDaysCentYr_10","fiveYrAveWetDaysCentYr_11","fiveYrAveWetDaysCentYr_12","fiveYrAveWetDaysCentYr_13","fiveYrAveWetDaysCentYr_14","fiveYrAveWetDaysCentYr_15","fiveYrAveWetDaysCentYr_16","fiveYrAveWetDaysCentYr_17","fiveYrAveWetDaysCentYr_18","fiveYrAveWetDaysCentYr_19"
"Accomack_Virginia_51001","51001",1970,0.0886917960088692,0.0024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.0219512195121951,0.0219512195121951,0,0.170731707317073,0.170731707317073,0.213414634146341,0.284552845528455,0.426829268292683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accomack_Virginia_51001","51001",2000,0.24390243902439,0.170731707317073,0.370731707317073,0.370731707317073,0.2,0.2,0.2,0,0.2,0.351219512195122,0.548780487804878,0.548780487804878,0.548780487804878,0.348780487804878,0.290243902439024,0.0926829268292683,0.292682926829268,0.292682926829268,0.292682926829268,0.2,0.2,0.0317073170731707,0.0487804878048781,0.2,0.2,0.207317073170732,0.182926829268293,0.192682926829268,0.051219512195122,0.051219512195122,0.0548780487804878
"Accomack_Virginia_51001","51001",2030,0,0.0609756097560976,0.024390243902439,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albemarle_Virginia_51003","51003",1970,0.374188311688312,0.0428571428571429,0.248214285714286,0.248214285714286,0.248214285714286,0.607142857142857,0.564285714285714,0.558928571428571,0.575,0.575,0.270089285714286,0.360119047619048,0.0401785714285714,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albemarle_Virginia_51003","51003",2000,0.362797619047619,0.403571428571429,0.603571428571429,0.516071428571429,0.5,0.5,0.3125,0.116071428571429,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.2,0.208928571428571,0.208928571428571,0.208928571428571,0.208928571428571,0.025,0.0160714285714286,0.0196428571428571,0.521428571428571,0.551785714285714,0.535714285714286,0.735714285714286,0.767857142857143,0.266071428571429,0.451785714285714,0.880357142857143,0.696428571428571,0.860714285714286,1.07589285714286
"Albemarle_Virginia_51003","51003",2030,1,1.07440476190476,0.540178571428571,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria_Virginia_51510","51510",1970,0.0909090909090909,0,0,0,0,0,0,0.2,0.2,0.2,0.25,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria_Virginia_51510","51510",2000,0.233333333333333,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0.266666666666667,0.6,0.6,0.533333333333333,0.533333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.4,0.133333333333333,0.133333333333333,0.166666666666667
"Alexandria_Virginia_51510","51510",2030,0,0.222222222222222,0.166666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alleghany_Virginia_51005","51005",1970,0.118181818181818,0,0,0,0,0.228571428571429,0.228571428571429,0.26,0.26,0.26,0.0392857142857143,0.0523809523809524,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alleghany_Virginia_51005","51005",2000,0.100952380952381,0.231428571428571,0.231428571428571,0.2,0.2,0.2,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.00857142857142857,0.00857142857142857,0.00571428571428571,0.00571428571428571,0.00571428571428571,0.00857142857142857,0.0171428571428571,0.0171428571428571,0.0428571428571429,0.0428571428571429,0.0342857142857143,0.0257142857142857,0.125714285714286,0.291428571428571,0.34,0.551428571428571,0.689285714285714
"Alleghany_Virginia_51005","51005",2030,1.05714285714286,0.752380952380952,0.65,1.05714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amelia_Virginia_51007","51007",1970,0.346153846153846,0.173076923076923,0.203846153846154,0.203846153846154,0.203846153846154,0.561538461538462,0.388461538461538,0.357692307692308,0.357692307692308,0.557692307692308,0.25,0.333333333333333,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
